"cty_id","county","lon","lat","Uppm","u"
27001,"AITKIN",-93.415,46.608,0.502054,-0.6890475953545
27003,"ANOKA",-93.246,45.273,0.428565,-0.847312860499705
27005,"BECKER",-95.674,46.935,0.892741,-0.11345877376814
27007,"BELTRAMI",-94.937,47.974,0.552472,-0.593352525607471
27009,"BENTON",-93.998,45.699,0.866849,-0.142890481153028
27011,"BIGSTONE",-96.41,45.426,1.47264,0.387056708424809
27013,"BLUEEARTH",-94.067,44.035,1.31208,0.271613664272716
27015,"BROWN",-94.728,44.242,1.31993,0.277578704889093
27017,"CARLTON",-92.677,46.592,0.717261,-0.332315487884133
27019,"CARVER",-93.803,44.821,1.10061,0.0958645715553609
27021,"CASS",-94.325,46.949,0.544319,-0.608219806930943
27023,"CHIPPEWA",-95.566,45.023,1.3148,0.273684562807927
27025,"CHISAGO",-92.907,45.504,0.479352,-0.735320087151157
27027,"CLAY",-96.49,46.892,1.41027,0.343781175420031
27029,"CLEARWATER",-95.379,47.578,0.941896,-0.0598604138977053
27031,"COOK",-90.388,47.72,0.603508,-0.504995982525783
27033,"COTTONWOOD",-95.181,44.007,1.40433,0.339560320720446
27035,"CROWWING",-94.07,46.483,0.530789,-0.633390700175141
27037,"DAKOTA",-93.066,44.672,0.976144,-0.0241451624685385
27039,"DODGE",-92.862,44.023,1.30194,0.263855459775217
27041,"DOUGLAS",-95.453,45.934,1.16849,0.155712316979839
27043,"FARIBAULT",-93.948,43.674,1.34316,0.295025046707039
27045,"FILLMORE",-92.09,43.674,1.51424,0.414913662927776
27047,"FREEBORN",-93.349,43.674,1.25133,0.224206985667406
27049,"GOODHUE",-92.722,44.41,1.21727,0.196610646424232
27051,"GRANT",-96.012,45.934,1.47959,0.391765022369922
27053,"HENNEPIN",-93.477,45.005,0.907991,-0.09652081232424
27055,"HOUSTON",-91.492,43.671,1.65455,0.503529068533353
27057,"HUBBARD",-94.916,47.109,0.66992,-0.400596976711304
27059,"ISANTI",-93.295,45.562,0.471483,-0.751872232701787
27061,"ITASCA",-93.632,47.51,0.515124,-0.663347630601429
27063,"JACKSON",-95.154,43.674,1.36209,0.309020284839334
27065,"KANABEC",-93.293,45.945,0.948014,-0.0533860089036706
27067,"KANDIYOHI",-95.004,45.152,1.11598,0.10973294265158
27069,"KITTSON",-96.782,48.777,0.992227,-0.00780336722984165
27071,"KOOCHICHING",-93.784,48.245,0.414025,-0.881828920506582
27073,"LACQUIPARLE",-96.173,44.995,1.36483,0.311029878756367
27075,"LAKE",-91.409,47.524,0.500776,-0.691596383667291
27077,"LAKEOFTHEWOODS",-94.905,48.771,0.505752,-0.681708848419116
27079,"LESUEUR",-93.73,44.372,1.21464,0.194447736591795
27081,"LINCOLN",-96.267,44.413,1.56034,0.444903746232023
27083,"LYON",-95.839,44.414,1.48399,0.39473440617801
27085,"MCLEOD",-94.272,44.824,1.15076,0.140422593662249
27087,"MAHNOMEN",-95.809,47.325,1.16137,0.14960034272844
27089,"MARSHALL",-96.369,48.358,1.01386,0.0137648285757133
27091,"MARTIN",-94.551,43.674,1.18041,0.16586183575527
27093,"MEEKER",-94.527,45.123,1.02424,0.0239508741557865
27095,"MILLELACS",-93.63,45.938,0.810536,-0.210059521766286
27097,"MORRISON",-94.268,46.013,0.910987,-0.0932266518569275
