"id","district","sch","exp_group","poverty_school","s3","s3npr","f3","f3npr","grade_fall2013","many13","s13_10","s13_11","s13_12","often13","family13","s13_15","s13_16","ethnicity_new","frl_new","lep_new","gender_new","s4","s4npr","tri14","teach","f4","many14","often14","s14_6","s14_7","s14_8","s14_9","s14_10","s14_11","family14","s14_13","s14_14","s14_15"
"AS-0001","AS","761312 ","Control (Math)",2,171,56,163,28,3,4,1,2,3,2,1,4,1,"Other",1,1,1,179,39,7,"800552",183,6,5,6,5,5,4,5,3,2,1,1,1
"AS-0002","AS","761312 ","Control (Math)",2,156,24,145,5,3,2,1,1,1,3,3,4,3,"Other",0,1,1,163,17,10,"800552",163,7,4,3,4,4,3,3,2,4,1,2,2
"AS-0003","AS","761312 ","Control (Math)",2,148,11,145,5,3,2,1,1,2,1,1,4,4,"Other",1,1,2,163,17,10,"800186",142,11,5,6,5,5,5,5,2,4,4,4,4
"AS-0004","AS","761312 ","Control (Math)",2,150,13,153,13,3,1,1,2,1,3,4,4,3,"Other",1,1,1,168,23,10,"800186",145,6,4,6,5,3,1,4,2,4,4,4,4
"AS-0006","AS","761312 ","READS         ",2,179,70,184,65,3,6,6,3,1,3,3,3,1,"Other",1,0,2,192,61,10,"800644",199,10,4,6,3,2,4,4,1,3,4,1,2
"AS-0007","AS","761312 ","READS         ",2,158,28,155,15,3,6,6,1,1,3,3,3,3,"Other",1,0,1,170,25,8,"800644",168,9,5,5,5,5,5,5,3,4,4,4,4
"AS-0010","AS","761312 ","Control (Math)",2,156,24,153,13,3,1,1,1,1,2,4,4,4,"Other",1,0,1,165,19,2,"800552",173,2,3,2,3,3,3,3,2,4,4,1,4
"AS-0011","AS","761312 ","Control (Math)",2,202,92,205,89,3,4,1,1,2,3,1,3,1,"White",1,0,2,214,84,5,"800552",212,6,2,4,2,2,2,2,3,2,2,1,2
"AS-0014","AS","761312 ","READS         ",2,184,77,197,82,3,3,3,1,1,3,1,4,1,"White",1,0,1,195,65,4,"800644",230,6,3,5,2,2,3,3,3,4,4,3,4
"AS-0017","AS","761312 ","READS         ",2,151,15,155,15,3,11,3,1,1,4,1,2,3,"Other",0,1,2,153,7,2,"800644",135,3,2,2,2,2,3,2,4,1,4,1,2
