"ID","ATTIT.11","EXPO.11","ATTIT.12","EXPO.12","ATTIT.13","EXPO.13","ATTIT.14","EXPO.14","ATTIT.15","EXPO.15","FEMALE","MINORITY","INCOME"
"       3",0.11,-0.37,0.2,-0.27,0,-0.37,0,-0.27,0.11,-0.17,1,0,3
"       8",0.29,0.42,0.29,0.2,0.11,0.42,0.51,0.2,0.69,0.2,0,0,4
"       9",0.8,0.47,0.58,0.52,0.64,0.2,0.75,0.47,0.98,0.47,0,0,3
"      15",0.44,0.07,0.44,0.32,0.89,0.47,0.75,0.26,0.8,0.47,0,0,4
"      33",0.2,-0.27,0.64,-0.27,0.69,-0.27,NA,NA,0.11,0.07,1,0,4
"      45",0.11,0.26,0.37,-0.17,0.37,0.14,0.37,0.14,0.69,0.32,1,0,4
"      52",NA,NA,0.29,-0.17,0.2,-0.01,0.44,-0.01,0.44,-0.17,0,0,3
"      77",0.11,-0.27,0.2,-0.09,0.64,-0.09,0.58,0.2,0.8,0.26,0,0,4
"      79",0.2,0.2,0.51,0.26,0.51,0.61,0.69,0.96,0.94,0.98,1,0,6
"      83",0,0.86,0.2,-0.27,0.58,0.65,0.37,-0.09,NA,NA,0,1,3
"      93",0,-0.09,0,-0.27,0,-0.17,0.2,0.07,0.2,-0.09,1,0,5
"      96",0.2,-0.09,0.29,-0.27,0.29,-0.01,0.64,0.07,0.51,0.14,1,0,7
"     107",0.37,-0.09,0.51,-0.17,0.29,-0.37,NA,NA,NA,NA,1,0,9
"     119",0.64,-0.09,0.29,-0.17,0.51,-0.09,0.58,0.26,0.51,0.42,0,0,5
"     120",0.2,0.37,0.11,-0.27,0.11,-0.17,0.58,-0.01,0.69,-0.09,0,0,5
"     127",0.2,-0.06,0.2,0.14,0.2,0.42,0.11,-0.01,0.51,0.07,0,1,2
"     138",0,0.47,0.29,0.2,0,-0.01,0.2,0.56,0.44,0.8,0,1,2
"     141",0.11,0.2,0.29,0.68,0.69,0.42,0.8,0.56,0.64,0.37,0,1,2
"     152",0.37,0.14,0.29,-0.27,0.29,-0.27,0.29,-0.09,0.29,-0.09,0,0,10
"     158",0.58,-0.09,0.51,0.14,0.89,0.96,NA,NA,0.85,0.37,0,0,3
"     159",0.11,-0.17,0.37,0.37,0.11,0.2,0.11,0.32,0.29,0.25,1,0,8
"     165",0,-0.37,0.11,-0.37,0,-0.37,NA,NA,NA,NA,1,1,4
"     168",0.44,0.37,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1
"     173",NA,NA,0.44,0.07,0.8,0.65,0.8,0.42,0.85,0.56,0,0,4
"     180",NA,NA,NA,NA,0.89,0.56,1.06,0.73,0.94,0.61,1,0,2
